0,1,2,3
"Учебный план
ОП Искусственный интеллект",,,
"атратс
ыртсемеС","Наименование модулей, дисциплин, практики и аттестации","де.з
в
ьтсокмеодурТ",".сач
в
ьтсокмеодурТ"
,Блок 1. Модули (дисциплины),60,2160
,Универсальная (надпрофессиональная) подготовка,12,432
,Магистратура/Аспирантура ИИ,9,324
,Мировоззренческий модуль + иняз,9,324
,Иностранный язык,6,216
,Иностранный язык 2 сем,3,108
2,Английский язык A1 / English A1,3,108
2,Английский язык A2 / English A2,3,108
2,Русский язык как иностранный / Russian as a foreign language,3,108
2,Английский язык в профессиональной деятельности / English for specific purposes,3,108
,Иностранный язык 1 сем,3,108
1,Английский язык A1 / English A1,3,108
1,Английский язык A2 / English A2,3,108
1,Русский язык как иностранный / Russian as a foreign language,3,108
1,Английский язык в профессиональной деятельности / English for specific purposes,3,108
,Мировоззренческий модуль,3,108
,Предпринимательская культура,3,108
3,Создание и развитие технологического бизнеса,3,108
3,Стартап-трек: от mvp до бизнеса,3,108
,Креативные технологии,3,108
1,Основы концептуального мышления,3,108
1,Основы концептуального мышления / Introduction to Conceptual Thinking,3,108
,Мышление,3,108
3,Этика в сфере информационных технологий и искусственного интеллекта,3,108
3,Critical Thinking Skills (Advanced),3,108
3,Критическое мышление (продвинутый уровень),3,108
,Аспирантский трек,9,324
,История и философия науки,3,108
3,История и философия науки,3,108
,Иностранный язык,6,216
1,Иностранный язык / Foreign Language,3,108
2,Иностранный язык / Foreign Language,3,108
,Микромодули Soft Skills (1-3 семестры),3,108
"1, 2, 3",Элективные микромодули Soft Skills,3,108
,"Индивидуальная профессиональная подготовка (по профессиональным областям, по
профессиональным ролям, по уровню сложности и др.)",48,1728
,Обязательные дисциплины. 1 семестр,3,108
1,Воркшоп по созданию продукта на данных / Data Product Development Workshop,3,108
,Пул выборных дисциплин. 1 семестр,15,540
1,Хранение больших данных и Введение в МО (Python),3,108
1,Введение в МО (Python) и Продвинутое МО (Python),3,108
1,Продвинутое МО (Python) и Глубокое обучение,3,108
1,Автоматическое машинное обучение,3,108
1,Математическая статистика,3,108
1,Графические интерфейсы,3,108
